ply,our_move,sf_move,same_move,centipawn_loss,step_smartness,decision_time,pruned_branches
2,e2e4,e2e4,True,0,-3,0.010141849517822266,0
4,h2h3,g1f3,False,7,-11,0.018082857131958008,0
6,g1e2,g1f3,False,13,-20,0.018094778060913086,0
8,f2f3,c2c4,False,118,-125,0.01912856101989746,0
10,e4d5,d2d3,False,45,-44,0.02653217315673828,0
12,h3h4,b1c3,False,91,-63,0.029253244400024414,0
14,e2g3,b1c3,False,89,-100,0.035981178283691406,0
16,b1c3,d2d3,False,31,-43,0.044260501861572266,0
18,b2b3,g3e2,False,51,-33,0.048224687576293945,0
20,f1a6,c3e2,False,363,-351,0.04991745948791504,0
22,e1f1,e1f1,True,0,27,0.004009723663330078,0
24,c3e2,d1e2,False,37,-121,0.05687260627746582,0
26,c2c4,a2a4,False,45,-7,0.05512380599975586,0
28,e2c3,e2c3,True,0,-6,0.055597543716430664,0
30,h1h5,d2d3,False,7,-70,0.05865764617919922,0
32,c3d5,c3d5,True,0,-94,0.07032656669616699,0
34,d5f6,d1e1,False,8,12,0.08047032356262207,0
36,g2g4,d1e1,False,140,-115,0.06572842597961426,0
38,h5e5,h5e5,True,0,-210,0.06245136260986328,0
40,f1f2,f1g1,False,33,8,0.00814199447631836,0
42,d2d3,a2a4,False,0.0,-8911.0,0.05057573318481445,0
44,f2e1,f2e1,True,0.0,0.0,0.006065845489501953,0
46,c1e3,c1e3,True,0.0,0.0,0.006078958511352539,0
48,d1e2,d1e2,True,0.0,0.0,0.0030465126037597656,0
